timestamp,session_id,event,detail,version,answered_count,completed,time_spent
17:36.8,81d9553db7534dfa14019c31b43333ab,quiz_submitted,submit_clicked,B,20,TRUE,28
20:05.2,281fb32c45afcfc5a6999a8a920b1900,quiz_submitted,submit_clicked,B,20,TRUE,23
28:32.1,835a6c603d6816e41a8d05f05281e606,quiz_submitted,submit_clicked,B,20,TRUE,26
29:14.5,667e58661d20435ff497800993e114d1,quiz_submitted,submit_clicked,B,1,FALSE,11
30:15.1,41fb9631e0c2be9e8c0c18df21e52d38,quiz_submitted,submit_clicked,A,0,FALSE,5
32:12.0,78ff636b599263c3dbc14dbbb9a9d0b2,quiz_submitted,submit_clicked,A,4,FALSE,45
35:25.8,ee798494059a8af8ffd5302701aa5209,quiz_submitted,submit_clicked,A,20,TRUE,47
45:40.8,f6a21a20e0e7b8df860d17517b8b3cb7,quiz_submitted,submit_clicked,B,20,TRUE,92
10:04.2,18d3bea7f2f02d7a874eaaf9e2bc5d10,quiz_submitted,submit_clicked,A,20,TRUE,39
10:10.6,bc69a778c210c3c5bc63b0a78cea85ff,quiz_submitted,submit_clicked,B,20,TRUE,31
09:22.7,0175a7c1d3141b3a978bd9b66a99311e,quiz_submitted,submit_clicked,B,20,TRUE,88
09:28.4,0175a7c1d3141b3a978bd9b66a99311e,quiz_submitted,submit_clicked,B,20,TRUE,94
59:02.0,85ffd141ea0e9c961a5725d13afff3b5,quiz_submitted,submit_clicked,A,4,FALSE,11
02:54.2,bf0ca6fd34c493da9274b5f66b2b2875,quiz_submitted,submit_clicked,B,20,TRUE,28
12:07.4,5cd25a425fc86a336d62e758d6619133,quiz_submitted,submit_clicked,B,20,TRUE,28
20:02.7,d1228e168437c03553e3d16cf647e5a0,quiz_submitted,submit_clicked,B,20,TRUE,126
29:16.9,204f291bca253d07a1b205722bb99ce2,quiz_submitted,submit_clicked,A,20,TRUE,98
43:32.0,586b69e5a9386531d8c689ce58f46bf4,quiz_submitted,submit_clicked,A,20,TRUE,54
47:58.9,5378496c4f114cb7567f0c1386d9864b,quiz_submitted,submit_clicked,B,20,TRUE,143
48:41.8,20a0139de0c134493cfe0b5bbce12406,quiz_submitted,submit_clicked,A,20,TRUE,24
00:43.2,4dd476a289d799f375f4e1bddeaf1a7d,quiz_submitted,submit_clicked,A,20,TRUE,102
27:00.0,dd91d864e3df99beeecfc1af70cc7c20,quiz_submitted,submit_clicked,A,20,TRUE,29
43:48.0,ae0497373bf8d055c2260ce841a40640,quiz_submitted,submit_clicked,A,20,TRUE,56
04:09.7,f2e8dc9fb64f9f96809b108d729934dd,quiz_submitted,submit_clicked,A,20,TRUE,67
20:09.8,ab61c43b29471d45718da84ecef96916,quiz_submitted,submit_clicked,A,20,TRUE,42
21:50.3,ce9e81921e15753300d72b9ee7f7e2dd,quiz_submitted,submit_clicked,B,10,FALSE,14
